name,uuid,description,keywords,prompts.batch,preferred_score,targets
icho_uk_2023_q1c2,0081279d-0835-9b00-a3df-f855bd1b705d,"Calculating energy released given a reaction, reaction enthalpy, density and volume.","['energy', 'combustion', 'physical-chemistry', 'thermodynamics', 'reaction', 'requires-calculation', 'icho', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The density of liquid hydrogen is 0.071 g cm^{-3}. Assume the enthalpy change for the reaction H2 + 0.5 O2 -> H2O is -241 kJ per mole of hydrogen gas. What is the energy released, in kJ, when the gas formed from 1 dm^{3} of liquid hydrogen is combusted?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['8480']
photochemistry_2,01a2286b-eb03-af5c-2f2f-b76ba80db4a9,Choosing the correct number of electrons for the active space,"['requires-reasoning', 'requires-knowledge', 'computational-chemistry', 'difficulty-advanced', 'photochemistry', 'active space']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Focussing only on the pi orbitals, what is the correct number of electrons of the active space to build the PES for the tetracene molecule using the CASSCF method?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['18']
icho_uk_2011_2e,02e71f59-de61-f36a-c7f5-6bbb16baae35,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,"['stoichiometric coefficient', 'general-chemistry', 'reaction', 'icho', 'difficulty-basic', 'stochiometry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The reaction of calcium carbide with water is CaC2 + 2H2O -> Ca(OH)2 + xC2H2. What is x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1']
number_1h_nmr_shifts,032cb9f5-f003-5e3a-bc7f-b6df81482901,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES CC1CCN=C(C)O1?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['7']
icho_uk_2020_4e,0373f267-ff33-43e2-2fb9-57593de19725,Predicting the correct molecular formula and charge of the anion in a compound.,"['molecular-formula', 'charge', 'inorganic-chemistry', 'p-block', 'icho', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Talc (Mg3Si4H2O12) is a mineral which contains hydroxide ions in addition to silicates. The formula of the silicate anion in talc is [SixO10]^{4-}. What is the value of x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['4']
icho_uk_2019_1b3,04576ff1-b0c5-3065-2aa6-22b33a76a5d0,Calculating the pressure in a container given other parameters.,"[""Henry's-law"", 'equilibrium', 'physical-chemistry', 'gas-law', 'requires-calculation', 'icho']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: At 25 deg C, the partial pressure of CO2 gas in a 250 cm^{3} fizzy drink can is 3 atm. The Henry's law constant for CO2 is 0.033 mol dm^{-3} atm^{-1}. The can contains only 1.09 g of CO2 as a gas. What is the pressure in the can at 25 deg C in kPa?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['245']
electron_counts,04dc1b11-05ba-0861-c110-bd3532235e53,Predicting the total electron count of a compound,"['electron counts', 'general-chemistry', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the total electron count of Zn(OH)2?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['48']
metal_complexes_2,060c9731-5830-cb68-9b25-86b5bd595089,Metal complexes questions,"['requires-knowledge', 'requires-calculation', 'inorganic-chemistry', 'oxidation number', 'metal complex', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the oxidation number of the metal in the compound [Pt(NH3)2Cl4]?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['2']
icho_uk_2020_2h,072c8c46-bce5-767b-35e2-7e3ce0fab396,Calculating the ratio of rate of heat released per second in a burner.,"['heat', 'combustion', 'thermodynamics', 'physical-chemistry', 'reaction', 'requires-calculation', 'icho']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: When fuel gases are supplied under the same pressure, the heat released per second in a burner is directly proportional to standard enthalpy change of combustion and inversely proportional to the square root of relative molecular mass. Assume hydrogen and methane are supplied under the same pressure. The heat released with H2 is -285.8 kJ mol^{-1} and the heat released with CH4 is -890.3 kJ mol^{-1}. What is the ratio of heat released per second in a burner fuelled by hydrogen compared to in the same burner fuelled by methane?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['0.908']
number_1h_nmr_shifts,09ba2e37-9d96-2634-a6ff-29617e671249,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES C1(C(C)CCCC1)?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['8']
