Example,Name,UUID,Description,Subdomain,Task type,Difficulty,Question,Reference answer,Representative base prediction,Representative PA prediction,Notes
S4-1,icho_uk_2010_1a,c239055a-eb8b-311a-b35c-920f51278fb9,Calculating the moles of a compound given the mass.,Physical chemistry,Calculation,Basic,"If ten tonnes of Ambrox (C16H28O) are produced every year, what is the number of moles produced per year?",42000,,,
S4-2,number_1h_nmr_shifts,032cb9f5-f003-5e3a-bc7f-b6df81482901,Predicting the maximum number of 1H NMR peaks for a molecule.,Analytical chemistry,Reasoning,Unspecified,What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES CC1CCN=C(C)O1?,7,,,
S4-3,periodic_table_questions_20,5e89897b-480f-26c8-0de9-05047a3708a7,Number of electrons of an inner orbital,General chemistry,Knowledge,Basic,"The Hassium element, with atomic number 108, and with an electronic configuration of [Rn]7s^25f^{14}6d^6. How many electrons does it have in the 4f orbital?",14,,,
S4-4,icho_uk_2023_q2a,0f89b688-e1a1-73d0-6477-ba4257e40a5b,Calculating difference in electronegativity given bond dissociation energies.,Inorganic chemistry,Calculation,Basic,"Pauling used thermodynamic data to calculate the difference in electronegativity between two atoms A and B, X(A) - X(B) = 0.102 \sqrt{(Bd(AB) - \frac{(Bd(AA)+Bd(BB)}{2})} , where Bd represents the bond dissociation energies, in kJ mol^{-1}, of the A-A, B-B and A-B bonds. What is the difference in electronegativity between Cl and H, given that Bd(H2) = 432 kJ mol^{-1}, Bd(Cl2) = 244 kJ mol^{-1} and Bd(HCl) = 427 kJ mol^{-1}?",0.962,,,
S4-5,icho_uk_2011_5a,ba73f939-4076-b749-9ca2-4ea95ff81940,Predicting the correct molecular formula of a compound.,Organic chemistry,Calculation + Reasoning,Basic,"Combusting a 0.250 g sample of compound A results in the production of 0.178 g of CO2 and 0.146 g of H2O. Subsequently, a separate 0.250 g sample of compound A, subjected to alkaline hydrolysis, releases all its nitrogen as NH3. The generated ammonia effectively neutralizes 40.8 cm^{3} of 0.200 mol dm^{-3} hydrochloric acid. Mass spectrometry analysis reveals that compound A has a relative molecular mass of 60, leading to the molecular formula CH4N2Ox. What is the value of x?",1,,,
S4-6,photochemistry_2,01a2286b-eb03-af5c-2f2f-b76ba80db4a9,Choosing the correct number of electrons for the active space,Computational chemistry,Reasoning + Knowledge,Advanced,"Focussing only on the pi orbitals, what is the correct number of electrons of the active space to build the PES for the tetracene molecule using the CASSCF method?",18,,,
S4-7,icho_uk_2022_q1g,ad0ec230-be5d-44b6-688d-dea2dd39d34d,Calculating percentage of CO2 produced from burning of fuels.,Technical chemistry,Calculation + Reasoning,Basic,"Assume that 1 L of E10 fuel contains 100 mL of ethanol and 900 mL of octane isomers, and that 1 L of E5 fuel contains 50 mL of ethanol and 950 mL of octane isomers. Taking the CO2 produced from burning 1 L of E5 fuel as 100 %, what is the percentage of CO2 produced from burning 1 L of E10 fuel. Consider only CO2 formed from the combustion of octane isomers?",94.7,,,
S4-8,icho_uk_2023_q1c2,0081279d-0835-9b00-a3df-f855bd1b705d,"Calculating energy released given a reaction, reaction enthalpy, density and volume.",Physical chemistry,Calculation,Basic,"The density of liquid hydrogen is 0.071 g cm^{-3}. Assume the enthalpy change for the reaction H2 + 0.5 O2 -> H2O is -241 kJ per mole of hydrogen gas. What is the energy released, in kJ, when the gas formed from 1 dm^{3} of liquid hydrogen is combusted?",8480,,,
S4-9,icho_uk_2011_2e,02e71f59-de61-f36a-c7f5-6bbb16baae35,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,General chemistry,Reasoning,Basic,The reaction of calcium carbide with water is CaC2 + 2H2O -> Ca(OH)2 + xC2H2. What is x?,1,,,
S4-10,metal_complexes_2,060c9731-5830-cb68-9b25-86b5bd595089,Metal complexes questions,Inorganic chemistry,Calculation + Knowledge,Basic,What is the oxidation number of the metal in the compound [Pt(NH3)2Cl4]?,2,,,
S4-11,photochemistry_1,123711fc-6a29-1c22-990e-01c26d1ec1f3,Choosing the correct number of electrons for the active space,Computational chemistry,Reasoning + Knowledge,Basic,"Focussing only on the pi orbitals, what is the correct number of electrons of the active space to build the PES for the furan molecule using the CASSCF method?",6,,,
S4-12,icho_uk_2020_4e,0373f267-ff33-43e2-2fb9-57593de19725,Predicting the correct molecular formula and charge of the anion in a compound.,Inorganic chemistry,Reasoning,Basic,Talc (Mg3Si4H2O12) is a mineral which contains hydroxide ions in addition to silicates. The formula of the silicate anion in talc is [SixO10]^{4-}. What is the value of x?,4,,,
